location,size,total_sqft,bath,balcony,age,price
Yelahanka New Town,1,284,1,1,2.644304186,8
Hosur Road,,1350,,,2.644304186,8.44
Chandapura,1,450,1,1,2.644304186,9
Kengeri,1,340,1,1,2.683042903,10
BTM Layout,3,167Sq. Meter,3,2,2.683042903,10
Attibele,1,400,1,1,2.683042903,10
Alur,1,470,2,1,2.797214954,10
Attibele,1,410,1,1,2.797214954,10
Chandapura,1,410,1,1,2.797214954,10
Attibele,1,395,1,1,2.797619027,10.25
Attibele,1,400,1,1,2.797619027,10.25
Doddaballapur,2,640,1,0,2.797619027,10.5
Attibele,1,450,1,1,2.922736153,11
Attibele,1,400,1,1,2.922736153,11
Attibele,1,400,1,1,2.922736153,11.5
Attibele,1,418,2,1,3.004716836,11.5
Anekal,1,400,1,1,3.004716836,11.5
Attibele,1,550,1,1,3.004716836,11.5
Chandapura,1,530,1,0,3.055370327,11.66
Attibele,1,400,1,1,3.055370327,12
Attibele,1,418,1,1,3.055370327,12
Electronic City,1,550,1,1,3.105751238,12
Electronic City,1,418,1,1,3.105751238,12
Begur,3,2400,3,2,3.105751238,12
Attibele,1,450,1,1,3.1188017,12.5
Anekal,1,420,1,1,3.1188017,12.5
Yelahanka,,1200 - 1800,,,3.1188017,12.75
Attibele,1,460,1,1,3.144894192,13
Austin Town,1,500,1,1,3.144894192,13
Varthur Road,1,540 - 565,1,0,3.144894192,13.26
Electronic City,1,605,1,0,3.205828407,13.31
Yelahanka New Town,1,350,1,1,3.205828407,13.5
Electronic City,1,530,1,1,3.205828407,13.5
Kadabagere,2,675,2,2,3.214868146,13.5
Chandapura,1,590,1,0,3.214868146,13.57
Chandapura,1,630,1,0,3.214868146,13.86
Nagavara,1,400,1,0,3.23205949,14
Ananth Nagar,1,500,1,1,3.23205949,14
Attibele,1,400,1,1,3.23205949,14
Ananth Nagar,1,500,2,2,3.24171598,14
Austin Town,1,400,1,0,3.24171598,14
Ananth Nagar,1,500,1,1,3.24171598,14
Kengeri,1,1200,1,1,3.278227596,14
Yelahanka,1,1000,1,0,3.278227596,14
Ananth Nagar,1,500,1,1,3.278227596,14
Chandapura,1,520,1,1,3.342599174,14.04
Chandapura,1,520,1,1,3.342599174,14.04
Chandapura,1,520,1,1,3.342599174,14.04
Kengeri,1,600,1,1,3.386003829,15
Belathur,2,460,1,0,3.386003829,15
Makali,1,485,1,1,3.386003829,15
Electronic City,2,550,1,1,3.394290808,15
Electronic City,2,550,1,1,3.394290808,15
Electronic City,2,660,1,1,3.394290808,15
Makali,1,500,1,1,3.395758659,15
JP Nagar,2,1100,1,1,3.395758659,15
Kadabagere,2,675,1,1,3.395758659,15
Electronic City,2,550,1,1,3.410785658,15
Alur,1,425,1,1,3.410785658,15
Yelahanka New Town,1,450,1,1,3.410785658,15
Kengeri Satellite Town,1,410,1,1,3.412865926,15
Kadabagere,2,565,2,1,3.412865926,15
Anekal,1,456,1,1,3.412865926,15
Kengeri,1,410,1,1,3.413044959,15
Attibele,1,520,1,1,3.413044959,15
Chandapura,1,520 - 645,1,0,3.413044959,15.135
Electronic City,2,660,1,1,3.430713498,15.5
Electronic City,2,550,1,1,3.430713498,16
Electronic City,2,710,2,2,3.430713498,16
